"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test Description: Verify Verifier Can Able To Edit The Work Order Invoice","5597","Work Order Invoice Edit Test","GePS-HOPES_YEA PS Catalog Test Cases","Tue May 27 18:55:56 IST 2025","passed","Tue May 27 18:56:02 IST 2025","com.source.classes.invoices.woinvoice.edit.WoInvEditTest","WO Invoice Edit","com.source.classes.invoices.woinvoice.edit.WoInvEditTest","edit"
"Test Description: Verify Buyer Can Able To Do Ready For Evaluation","6959","Ready For Evaluation Test","GePS-HOPES_YEA PS Non-Catalog Test Cases","Tue May 27 18:09:26 IST 2025","passed","Tue May 27 18:09:33 IST 2025","com.source.classes.requestforquotations.readyforevaluation.ReadyForEvaluationTest","Request For Quotation Ready For Evaluation","com.source.classes.requestforquotations.readyforevaluation.ReadyForEvaluationTest","readyForEvaluation"
"Test Description: Verify Logistics Manager Can Cancel The Dispatch Notes","15137","Dispatch Notes Cancel Test","GePS-HOPES_YEA PS Catalog Test Cases","Tue May 27 18:16:44 IST 2025","passed","Tue May 27 18:16:59 IST 2025","com.source.classes.dispatchnotes.cancel.DnCancelTest","Dispatch Note Cancel","com.source.classes.dispatchnotes.cancel.DnCancelTest","cancel"
"Test Description: Verify Buyer Can Able To Edit The Request For Quotation","6906","Request For Quotation Edit Test","GePS-HOPES_YEA PS Non-Catalog Test Cases","Tue May 27 18:07:50 IST 2025","passed","Tue May 27 18:07:57 IST 2025","com.source.classes.requestforquotations.edit.RfqEditTest","Request For Quotation Edit","com.source.classes.requestforquotations.edit.RfqEditTest","edit"
"Test Description: Verify Buyer Can Able To Revise The Purchase Order Request","2548","Purchase Order Request Revision Test","GePS-HOPES_YEA PS Non-Catalog Test Cases","Tue May 27 18:11:59 IST 2025","failed","Tue May 27 18:12:02 IST 2025","com.source.classes.purchaseorderrequests.revision.PorRevisionTest","Purchase Order Request Revision Request","com.source.classes.purchaseorderrequests.revision.PorRevisionTest","porRevision"
"Test Description: Verify Verifier Can Able To Hold The Work Order Invoice","5598","Work Order Invoice Hold Test","GePS-HOPES_YEA PS Catalog Test Cases","Tue May 27 18:56:13 IST 2025","passed","Tue May 27 18:56:18 IST 2025","com.source.classes.invoices.woinvoice.hold.WoInvHoldTest","WO Invoice Hold","com.source.classes.invoices.woinvoice.hold.WoInvHoldTest","hold"
"Test Description: Verify Verifier Can Able To Verify The Work Order Invoice","6036","Work Order Invoice Verify Test","GePS-HOPES_YEA PS Catalog Test Cases","Tue May 27 18:56:06 IST 2025","passed","Tue May 27 18:56:13 IST 2025","com.source.classes.invoices.woinvoice.verify.WoInvVerifyTest","WO Invoice Verify","com.source.classes.invoices.woinvoice.verify.WoInvVerifyTest","verify"
"Test Description: Verify Buyer Can Able To Create The Commercial Evaluation","6768","Commercial Evaluation Create Test","GePS-HOPES_YEA PS Non-Catalog Test Cases","Tue May 27 18:10:04 IST 2025","passed","Tue May 27 18:10:11 IST 2025","com.source.classes.requestforquotations.commercialevaluation.CommercialEvaluationTest","Request For Quotation Commercial Evaluation Create","com.source.classes.requestforquotations.commercialevaluation.CommercialEvaluationTest","ceCreate"
"Test Description: Verify Approvers Can Approve The Requisition","10","Requisition Approve Test","GePS-HOPES_YEA PS Catalog Test Cases","Tue May 27 18:14:05 IST 2025","passed","Tue May 27 18:14:05 IST 2025","com.source.classes.requisitions.approve.ApproveTest","Requisition Approve","com.source.classes.requisitions.approve.ApproveTest","approve"
"Test Description: Verify Approvers Can Able To Reject The Purchase Order Invoice","20068","Purchase Order Invoice Reject Test","GePS-HOPES_YEA PS Catalog Test Cases","Tue May 27 18:22:55 IST 2025","passed","Tue May 27 18:23:15 IST 2025","com.source.classes.invoices.poinvoice.reject.PoInvRejectTest","PO Invoice Reject","com.source.classes.invoices.poinvoice.reject.PoInvRejectTest","reject"
